epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,200.554,0.508,0.33512,0.97451,0.99858,1,0.995,0.91629,0.42401,0.25665,0.94655,0.0010892,0.0010892,0.0010892
71,201.871,0.50326,0.33116,0.98311,0.99853,1,0.995,0.91938,0.38443,0.24345,0.94807,0.001076,0.001076,0.001076
72,203.106,0.48902,0.32588,0.96518,0.99863,1,0.995,0.90558,0.41981,0.24899,0.96431,0.0010628,0.0010628,0.0010628
73,204.282,0.48381,0.32132,0.95807,0.99869,1,0.995,0.91603,0.3843,0.2341,0.93094,0.0010496,0.0010496,0.0010496
74,206.379,0.50264,0.34007,0.99591,0.99849,1,0.995,0.90481,0.39946,0.25335,0.93461,0.0010364,0.0010364,0.0010364
75,211.86,0.46988,0.3239,0.97583,0.99841,1,0.995,0.91484,0.44291,0.24441,0.94619,0.0010232,0.0010232,0.0010232
76,217.503,0.49707,0.32002,0.98868,0.99843,1,0.995,0.91406,0.40428,0.24505,0.9333,0.00101,0.00101,0.00101
77,223.76,0.45511,0.3092,0.96803,0.99849,1,0.995,0.91988,0.39911,0.23505,0.94105,0.0009968,0.0009968,0.0009968
78,226.897,0.46585,0.3137,0.9858,0.99852,1,0.995,0.91358,0.39273,0.22722,0.93604,0.0009836,0.0009836,0.0009836
79,228.273,0.4313,0.30995,0.94185,0.9984,1,0.995,0.91632,0.41695,0.25207,0.94835,0.0009704,0.0009704,0.0009704
80,229.538,0.43876,0.30892,0.95642,0.99805,1,0.995,0.92041,0.40278,0.2466,0.93444,0.0009572,0.0009572,0.0009572
81,230.71,0.45701,0.32851,0.97567,0.99839,1,0.995,0.91459,0.37928,0.21921,0.93188,0.000944,0.000944,0.000944
82,231.923,0.45428,0.2994,0.94947,0.99811,1,0.995,0.91702,0.4222,0.24752,0.96375,0.0009308,0.0009308,0.0009308
83,235.81,0.44587,0.29951,0.93609,0.99792,1,0.995,0.91144,0.44291,0.24589,0.97563,0.0009176,0.0009176,0.0009176
84,242.221,0.47519,0.30414,0.9805,0.99818,1,0.995,0.88677,0.49645,0.27257,1.00483,0.0009044,0.0009044,0.0009044
85,248.226,0.49068,0.31455,0.97344,0.99851,1,0.995,0.90137,0.41531,0.23739,0.93922,0.0008912,0.0008912,0.0008912
